DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
2019-04-13_11:16:51 - Epoch: 14, val_loss: 0.000204, loss: 0.000206
2019-04-13_12:36:13 - Epoch: 15, val_loss: 0.000273, loss: 0.000206
2019-04-13_13:53:59 - Epoch: 16, val_loss: 0.000262, loss: 0.000206
2019-04-13_15:11:16 - Epoch: 17, val_loss: 0.000252, loss: 0.000206
2019-04-13_16:30:50 - Epoch: 18, val_loss: 0.000207, loss: 0.000205
2019-04-13_17:50:30 - Epoch: 19, val_loss: 0.000207, loss: 0.000205
2019-04-13_19:09:39 - Epoch: 20, val_loss: 0.000206, loss: 0.000205
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_regfrac0p1_reshfl_SNR20to100
2019-04-13_22:41:39 - Epoch: 1, val_loss: 0.000474, loss: 0.000674
2019-04-14_00:02:55 - Epoch: 2, val_loss: 0.000228, loss: 0.000245
2019-04-14_01:25:57 - Epoch: 3, val_loss: 0.000267, loss: 0.000228
2019-04-14_02:45:58 - Epoch: 4, val_loss: 0.000220, loss: 0.000223
2019-04-14_04:07:15 - Epoch: 5, val_loss: 0.000222, loss: 0.000218
2019-04-14_05:27:51 - Epoch: 6, val_loss: 0.000213, loss: 0.000216
2019-04-14_06:48:11 - Epoch: 7, val_loss: 0.000217, loss: 0.000215
2019-04-14_08:09:17 - Epoch: 8, val_loss: 0.000227, loss: 0.000213
2019-04-14_09:31:03 - Epoch: 9, val_loss: 0.000230, loss: 0.000213
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_regfrac0p01_reshfl_SNR20to100
2019-04-14_12:07:06 - Epoch: 1, val_loss: 0.000278, loss: 0.000756
2019-04-14_13:26:54 - Epoch: 2, val_loss: 0.000245, loss: 0.000246
2019-04-14_14:45:06 - Epoch: 3, val_loss: 0.000219, loss: 0.000223
2019-04-14_16:04:17 - Epoch: 4, val_loss: 0.000227, loss: 0.000217
2019-04-14_17:21:49 - Epoch: 5, val_loss: 0.000221, loss: 0.000213
2019-04-14_18:41:41 - Epoch: 6, val_loss: 0.000211, loss: 0.000212
2019-04-14_20:02:12 - Epoch: 7, val_loss: 0.000209, loss: 0.000211
2019-04-14_21:21:40 - Epoch: 8, val_loss: 0.000211, loss: 0.000210
2019-04-14_22:40:01 - Epoch: 9, val_loss: 0.000210, loss: 0.000209
2019-04-14_23:58:36 - Epoch: 10, val_loss: 0.000210, loss: 0.000209
2019-04-15_01:19:41 - Epoch: 11, val_loss: 0.000212, loss: 0.000208
2019-04-15_02:38:26 - Epoch: 12, val_loss: 0.000208, loss: 0.000208
2019-04-15_03:56:28 - Epoch: 13, val_loss: 0.000221, loss: 0.000207
2019-04-15_05:16:05 - Epoch: 14, val_loss: 0.000212, loss: 0.000207
2019-04-15_06:33:50 - Epoch: 15, val_loss: 0.000217, loss: 0.000207
2019-04-15_07:53:48 - Epoch: 16, val_loss: 0.000207, loss: 0.000207
2019-04-15_09:12:49 - Epoch: 17, val_loss: 0.000213, loss: 0.000206
2019-04-15_10:31:29 - Epoch: 18, val_loss: 0.000209, loss: 0.000206
2019-04-15_11:50:18 - Epoch: 19, val_loss: 0.000205, loss: 0.000206
2019-04-15_13:08:26 - Epoch: 20, val_loss: 0.000205, loss: 0.000206
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_regfrac0p001_reshfl_SNR20to100
2019-04-15_19:20:30 - Epoch: 1, val_loss: 0.000311, loss: 0.000566
2019-04-15_20:40:31 - Epoch: 2, val_loss: 0.000231, loss: 0.000233
2019-04-15_22:00:30 - Epoch: 3, val_loss: 0.000216, loss: 0.000220
2019-04-15_23:22:01 - Epoch: 4, val_loss: 0.000241, loss: 0.000215
2019-04-16_00:42:51 - Epoch: 5, val_loss: 0.000211, loss: 0.000213
2019-04-16_02:03:11 - Epoch: 6, val_loss: 0.000211, loss: 0.000211
2019-04-16_03:23:36 - Epoch: 7, val_loss: 0.000207, loss: 0.000210
2019-04-16_04:44:06 - Epoch: 8, val_loss: 0.000209, loss: 0.000209
2019-04-16_06:04:01 - Epoch: 9, val_loss: 0.000215, loss: 0.000208
2019-04-16_07:26:07 - Epoch: 10, val_loss: 0.000210, loss: 0.000208
2019-04-16_08:47:15 - Epoch: 11, val_loss: 0.000207, loss: 0.000207
2019-04-16_10:07:17 - Epoch: 12, val_loss: 0.000214, loss: 0.000207
2019-04-16_11:28:55 - Epoch: 13, val_loss: 0.000213, loss: 0.000206
2019-04-16_12:49:18 - Epoch: 14, val_loss: 0.000205, loss: 0.000206
2019-04-16_14:09:31 - Epoch: 15, val_loss: 0.000215, loss: 0.000206
