ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
2019-06-12_09:04:23 - Epoch: 20, val_loss: 1497323.250000, val_mean_squared_error: 1.060018, val_shape_metric: 4383.282227, loss: 2195705.312500, mean_squared_error: 1.930684, shape_metric: 7620.480713
ShapeNet2D_FCS_claire_sc1_layer2_relu_growthRate2_with_mom_test
2019-06-12_09:06:40 - Epoch: 1, val_loss: 132.425995, val_mean_squared_error: 0.568178, val_shape_metric: 0.000000, loss: 139.625542, mean_squared_error: 1.082302, shape_metric: 0.000000
2019-06-12_09:06:40 - Epoch: 2, val_loss: 132.293335, val_mean_squared_error: 0.607217, val_shape_metric: 0.000000, loss: 173.512207, mean_squared_error: 1.036528, shape_metric: 0.000000
2019-06-12_09:06:41 - Epoch: 3, val_loss: 113.883743, val_mean_squared_error: 0.549129, val_shape_metric: 0.000000, loss: 96.695896, mean_squared_error: 1.010178, shape_metric: 0.000000
2019-06-12_09:06:41 - Epoch: 4, val_loss: 110.033844, val_mean_squared_error: 0.554630, val_shape_metric: 0.000000, loss: 114.831791, mean_squared_error: 0.968148, shape_metric: 0.000000
2019-06-12_09:06:41 - Epoch: 5, val_loss: 106.359818, val_mean_squared_error: 0.556386, val_shape_metric: 0.000000, loss: 96.548519, mean_squared_error: 0.936463, shape_metric: 0.000000
2019-06-12_09:06:41 - Epoch: 6, val_loss: 104.285660, val_mean_squared_error: 0.561536, val_shape_metric: 0.000000, loss: 145.121681, mean_squared_error: 0.871913, shape_metric: 0.000000
2019-06-12_09:06:42 - Epoch: 7, val_loss: 98.563644, val_mean_squared_error: 0.542763, val_shape_metric: 0.000000, loss: 96.905922, mean_squared_error: 0.864046, shape_metric: 0.000000
2019-06-12_09:06:42 - Epoch: 8, val_loss: 95.378815, val_mean_squared_error: 0.533821, val_shape_metric: 0.000000, loss: 101.742054, mean_squared_error: 0.818297, shape_metric: 0.000000
2019-06-12_09:06:42 - Epoch: 9, val_loss: 90.520142, val_mean_squared_error: 0.515112, val_shape_metric: 0.000000, loss: 73.253525, mean_squared_error: 0.801544, shape_metric: 0.000000
2019-06-12_09:06:43 - Epoch: 10, val_loss: 87.272781, val_mean_squared_error: 0.505227, val_shape_metric: 0.000000, loss: 86.494007, mean_squared_error: 0.756672, shape_metric: 0.000000
ShapeNet2D_FCS_claire_sc1_layer2_relu_growthRate2_with_mom_test
2019-06-12_09:07:04 - Epoch: 1, val_loss: 16590997.000000, val_mean_squared_error: 0.042867, val_shape_metric: 13323.361328, loss: 17567868.000000, mean_squared_error: 0.748345, shape_metric: 49919.470703
2019-06-12_09:07:04 - Epoch: 2, val_loss: 10931797.000000, val_mean_squared_error: 0.046353, val_shape_metric: 8996.135742, loss: 11680302.500000, mean_squared_error: 0.734127, shape_metric: 38589.059570
2019-06-12_09:07:04 - Epoch: 3, val_loss: 7653480.000000, val_mean_squared_error: 0.051624, val_shape_metric: 6353.908691, loss: 15966669.250000, mean_squared_error: 0.722138, shape_metric: 38874.949219
2019-06-12_09:07:04 - Epoch: 4, val_loss: 6150283.000000, val_mean_squared_error: 0.051602, val_shape_metric: 4969.249512, loss: 9067636.250000, mean_squared_error: 0.736624, shape_metric: 19140.497070
2019-06-12_09:07:04 - Epoch: 5, val_loss: 5533620.500000, val_mean_squared_error: 0.058456, val_shape_metric: 4412.140625, loss: 8110205.250000, mean_squared_error: 0.693538, shape_metric: 13341.648926
2019-06-12_09:07:05 - Epoch: 6, val_loss: 5144090.000000, val_mean_squared_error: 0.062350, val_shape_metric: 4132.196777, loss: 3561687.625000, mean_squared_error: 0.710240, shape_metric: 18464.666016
2019-06-12_09:07:05 - Epoch: 7, val_loss: 4892135.000000, val_mean_squared_error: 0.066029, val_shape_metric: 3959.685547, loss: 3902629.000000, mean_squared_error: 0.727677, shape_metric: 13129.477539
2019-06-12_09:07:05 - Epoch: 8, val_loss: 4687388.500000, val_mean_squared_error: 0.070266, val_shape_metric: 3821.397705, loss: 2355277.562500, mean_squared_error: 0.718328, shape_metric: 10956.332520
2019-06-12_09:07:05 - Epoch: 9, val_loss: 4509489.500000, val_mean_squared_error: 0.073871, val_shape_metric: 3707.936279, loss: 1959869.875000, mean_squared_error: 0.706339, shape_metric: 9762.383789
2019-06-12_09:07:05 - Epoch: 10, val_loss: 4333260.500000, val_mean_squared_error: 0.077684, val_shape_metric: 3600.262451, loss: 2287631.750000, mean_squared_error: 0.692914, shape_metric: 6779.666992
ShapeNet2D_FCS_claire_sc4_layer4x5x6x7_relu_growthRate12_with_mom_gamma0
ShapeNet2D_FCS_claire_sc4_layer4x5x6x7_relu_growthRate12_with_mom_gamma0
2019-06-12_10:36:36 - Epoch: 1, val_loss: 122.062469, val_weighted_mean_squared_error: 122.062469, val_weighted_shape_metric: 0.000000, loss: 100.068990, weighted_mean_squared_error: 100.068990, weighted_shape_metric: 0.000000
